1,1/5,1.2,-500
2,2/9,1.22,-450
3,1/4,1.25,-400
4,2/7,1.28,-350
5,3/10,1.3,-333.3
6,1/3,1.33,-300
7,7/20,1.35,-285.7
8,4/11,1.36,-275
9,2/5,1.4,-250
10,4/9,1.44,-225
11,9/20,1.45,-222.2
12,40/85,1.47,-212.5
13,1/2,1.5,-200
14,8/15,1.53,-187.5
15,4/7,1.57,-175
16,3/5,1.6,-166.7
17,8/13,1.62,-162.5
18,5/8,1.63,-160
19,4/6,1.66,-150
20,7/10,1.7,-142.9
21,8/11,1.72,-137.5
22,4/5,1.8,-125
23,5/6,1.83,-120
24,9/10,1.9,-111.1
25,10/11,1.91,-110
26,20/21,1.95,-105
27,1/1,2,-100
28,21/20,2.05,105
29,11/10,2.1,110
30,6/5,2.2,120
31,5/4,2.25,125
32,13/10,2.3,130
33,11/8,2.38,137.5
34,7/5,2.4,140
35,6/4,2.5,150
36,8/5,2.6,160
37,13/8,2.63,162.5
38,17/10,2.7,170
39,7/4,2.75,175
40,9/5,2.8,180
41,15/8,2.88,187.5
42,19/10,2.9,190
43,2/1,3,200
44,21/10,3.1,210
45,85/40,3.13,212.5
46,11/5,3.2,220
47,9/4,3.25,225
48,23/10,3.3,230
49,95/40,3.38,237.5
50,12/5,3.4,240
51,5/2,3.5,250
52,13/5,3.6,260
53,11/4,3.75,275
54,14/5,3.8,280
55,3/1,4,300
56,16/5,4.2,320
57,10/3,4.33,333.3
58,7/2,4.5,350
59,18/5,4.6,360
60,4/1,5,400
61,9/2,5.5,450
62,5/1,6,500
63,11/2,6.5,550
64,6/1,7,600
65,13/2,7.5,650
66,7/1,8,700
67,15/2,8.5,750
68,8/1,9,800
69,17/2,9.5,850
70,9/1,10,900
71,10/1,11,1000
72,50/1,51,5000
